iter	MultiClassOneVsAll
0	0.6776651633
1	0.6624099997
2	0.6527625124
3	0.6436020469
4	0.6320295375
5	0.6165697029
6	0.604011271
7	0.5930535371
8	0.5840735894
9	0.5759103801
10	0.566261217
11	0.5557011161
12	0.5490890789
13	0.5406648308
14	0.533523301
15	0.5211163129
16	0.5123815463
17	0.5024869053
18	0.4930162892
19	0.4854340656
20	0.4767113777
21	0.468951495
22	0.4631559023
23	0.453726667
24	0.4455746651
25	0.4398693691
26	0.4338457936
27	0.4260669694
28	0.4202283788
29	0.4150688946
30	0.4085007087
31	0.4037113528
32	0.3974352826
33	0.3927886758
34	0.3870225064
35	0.382759147
36	0.3785127037
37	0.374893442
38	0.3685364702
39	0.3643764471
40	0.3609132254
41	0.3569770379
42	0.3527618376
43	0.3475968611
44	0.3439120145
45	0.3388766486
46	0.3365035889
47	0.3321537581
48	0.3284261359
49	0.3251215641
50	0.3208902268
51	0.3182706568
52	0.3147193577
53	0.3106226993
54	0.3066292835
55	0.301665557
56	0.2974039835
57	0.2944295577
58	0.2891002105
59	0.2854714378
60	0.2831751588
61	0.2807289535
62	0.278840682
63	0.2765825505
64	0.2726836028
65	0.2702354693
66	0.2671452991
67	0.2650843879
68	0.2616052224
69	0.2579140963
70	0.2555353196
71	0.2527622715
72	0.2497338969
73	0.2465117333
74	0.2432807365
75	0.2411297714
76	0.2381239146
77	0.236418711
78	0.2346243639
79	0.2321633234
80	0.2294305716
81	0.227887662
82	0.2251570047
83	0.222843637
84	0.220671208
85	0.2182133224
86	0.2160982188
87	0.2138549007
88	0.2125390221
89	0.2108004433
90	0.2097522581
91	0.2081219794
92	0.2060282972
93	0.2033495081
94	0.2017941789
95	0.2007867353
96	0.1994326476
97	0.1975686597
98	0.1958740238
99	0.1941535794
100	0.1931426232
101	0.1909797205
102	0.1892231788
103	0.1870670191
104	0.1848916331
105	0.1838432115
106	0.1826649595
107	0.1811900211
108	0.1801649736
109	0.1787839248
110	0.17709269
111	0.1754009423
112	0.1739903551
113	0.1716691377
114	0.1707562524
115	0.169082777
116	0.1679968072
117	0.1664939297
118	0.1652160204
119	0.1639118467
120	0.162457492
121	0.1612128434
122	0.1604149486
123	0.1595781592
124	0.1583793515
125	0.1577127732
126	0.1567122816
127	0.1551640877
128	0.1544330299
129	0.1534665977
130	0.1525848283
131	0.1516791242
132	0.1502910613
133	0.1490178148
134	0.1482159192
135	0.1466394474
136	0.1460262057
137	0.1452570223
138	0.1444983466
139	0.1434900045
140	0.1425949566
141	0.1412399199
142	0.1406709884
143	0.1389239424
144	0.1383758874
145	0.1371741277
146	0.136347256
147	0.135432486
148	0.1343270766
149	0.133888557
150	0.1327262665
151	0.1320772183
152	0.1311452812
153	0.1305604488
154	0.1296392782
155	0.1288271546
156	0.127897552
157	0.1268428159
158	0.1261550736
159	0.1252387708
160	0.1241316041
161	0.123233155
162	0.1223905311
163	0.1216254583
164	0.1208597566
165	0.1201331081
166	0.1196264435
167	0.118964571
168	0.1184460974
169	0.1178334111
170	0.1170007322
171	0.1159465022
172	0.1153123575
173	0.11451805
174	0.114196932
175	0.1135158938
176	0.1122354328
177	0.1116449354
178	0.1110028861
179	0.1105817366
180	0.1101322799
181	0.1095561418
182	0.109127698
183	0.1086012562
184	0.1080323464
185	0.1075896537
186	0.1069414882
187	0.1063601914
188	0.105892603
189	0.1052827078
190	0.1049760299
191	0.1044622152
192	0.1041326977
193	0.1034317896
194	0.1029984924
195	0.1023188896
196	0.1017071343
197	0.1014756032
198	0.1007785575
199	0.100376267
200	0.0999644631
201	0.09950892646
202	0.09891172233
203	0.09858653248
204	0.09816517126
205	0.09773371499
206	0.096907414
207	0.09659694891
208	0.09619478078
209	0.09576670288
210	0.09529385898
211	0.09462222853
212	0.09397651222
213	0.09358516812
214	0.09310881791
215	0.09261241002
216	0.09227566409
217	0.09197989678
218	0.09158208058
219	0.09093176331
220	0.09050830849
221	0.09016412817
222	0.08976174179
223	0.08942113763
224	0.08906689296
225	0.08889250585
226	0.08850006554
227	0.08809089702
228	0.08782950173
229	0.08755982585
230	0.08732792091
231	0.08702565992
232	0.08660333458
233	0.08641733858
234	0.08622312532
235	0.0859463157
236	0.08565747575
237	0.08543177442
238	0.08524800933
239	0.08504942313
240	0.0847120161
241	0.08445058764
242	0.08419304752
243	0.08385568652
244	0.08359827906
245	0.08336552097
246	0.08315190643
247	0.08284767312
248	0.0824849885
249	0.08221426742
250	0.08207070449
251	0.08172459091
252	0.08146315079
253	0.08129946868
254	0.08106980255
255	0.08074645392
256	0.08051531802
257	0.08020005443
258	0.08001043797
259	0.07976759772
260	0.07942359888
261	0.07929052251
262	0.07913408464
263	0.07883806873
264	0.07869432324
265	0.07846199953
266	0.0782602036
267	0.07810065678
268	0.07788748276
269	0.07773498223
270	0.07743701906
271	0.07711581426
272	0.07690042985
273	0.07665723392
274	0.07638859508
275	0.0761391677
276	0.07590310842
277	0.07558366586
278	0.07533224977
279	0.07510349836
280	0.07486174206
281	0.07463694633
282	0.07441529594
283	0.07421004567
284	0.074006289
285	0.07388532251
286	0.07350307053
287	0.07325042981
288	0.07305518207
289	0.07292376377
290	0.07273934414
291	0.07255954392
292	0.07238047615
293	0.07212819486
294	0.07195759467
295	0.0717341888
296	0.07151785967
