iter	Passed	Remaining
0	2	2344
1	4	2004
2	5	1939
3	7	1924
4	9	1870
5	10	1740
6	12	1719
7	13	1703
8	15	1693
9	17	1684
10	18	1674
11	20	1665
12	21	1659
13	23	1652
14	25	1647
15	26	1642
16	28	1637
17	29	1634
18	31	1631
19	33	1638
20	35	1637
21	36	1637
22	38	1633
23	40	1630
24	41	1631
25	43	1630
26	45	1631
27	47	1632
28	48	1630
29	50	1630
30	52	1631
31	53	1630
32	55	1631
33	57	1631
34	59	1632
35	60	1631
36	62	1632
37	64	1632
38	66	1631
39	67	1630
40	69	1631
41	71	1630
42	73	1630
43	75	1630
44	76	1628
45	78	1628
46	80	1627
47	82	1627
48	83	1627
49	85	1626
50	87	1624
51	88	1621
52	90	1618
53	92	1616
54	94	1615
55	95	1612
56	97	1609
57	98	1607
58	100	1605
59	102	1602
60	104	1603
61	105	1600
62	107	1601
63	109	1601
64	111	1598
65	112	1597
66	114	1594
67	116	1592
68	117	1590
69	119	1587
70	121	1586
71	123	1585
72	124	1582
73	126	1580
74	127	1578
75	129	1575
76	131	1573
77	132	1571
78	134	1568
79	136	1566
80	137	1564
81	139	1561
82	141	1559
83	142	1558
84	144	1556
85	146	1554
86	147	1552
87	149	1553
88	151	1551
89	153	1551
90	155	1549
91	156	1547
92	158	1545
93	160	1543
94	162	1543
95	163	1542
96	165	1543
97	167	1540
98	169	1543
99	171	1544
100	173	1543
101	175	1546
102	177	1546
103	179	1545
104	181	1543
105	182	1542
106	184	1541
107	186	1540
108	188	1539
109	190	1537
110	191	1536
111	193	1530
112	194	1528
113	196	1527
114	198	1526
115	200	1524
116	201	1523
117	203	1522
118	205	1520
119	207	1518
120	208	1516
121	210	1515
122	212	1513
123	213	1511
124	215	1509
125	217	1508
126	219	1507
127	220	1505
128	222	1503
129	224	1502
130	226	1500
131	227	1498
132	228	1490
133	230	1489
134	232	1488
135	234	1486
136	235	1484
137	237	1483
138	239	1482
139	241	1480
140	242	1478
141	244	1477
142	246	1475
143	247	1473
144	249	1472
145	251	1470
146	253	1468
147	254	1467
148	256	1465
149	258	1463
150	260	1462
151	262	1462
152	264	1461
153	265	1460
154	267	1458
155	269	1456
156	270	1455
157	272	1453
158	274	1451
159	276	1449
160	277	1447
161	280	1448
162	281	1447
163	283	1445
164	285	1443
165	286	1441
166	288	1440
167	290	1438
168	292	1436
169	293	1435
170	295	1433
171	296	1429
172	298	1428
173	300	1426
174	302	1424
175	303	1423
176	305	1421
177	307	1419
178	309	1417
179	310	1416
180	312	1414
181	314	1413
182	316	1411
183	317	1409
184	319	1408
185	321	1406
186	323	1404
187	324	1403
188	326	1401
189	328	1399
190	330	1397
191	331	1396
192	333	1394
193	335	1392
194	337	1391
195	338	1389
196	340	1387
197	342	1386
198	343	1384
199	345	1382
200	347	1380
201	349	1378
202	350	1374
203	351	1373
204	353	1371
205	355	1370
206	357	1368
207	358	1366
208	360	1364
209	362	1363
210	364	1361
211	365	1359
212	366	1354
213	368	1352
214	370	1351
215	371	1349
216	373	1347
217	375	1346
218	376	1344
219	378	1342
220	380	1340
221	382	1339
222	383	1337
223	385	1336
224	387	1334
225	389	1332
226	390	1331
227	392	1329
228	394	1327
229	396	1326
230	397	1324
231	399	1322
232	401	1321
233	403	1321
234	405	1319
235	407	1317
236	408	1316
237	410	1314
238	412	1312
239	414	1311
240	416	1310
241	419	1313
242	421	1313
243	423	1312
244	426	1313
245	428	1314
246	430	1312
247	432	1310
248	434	1309
249	435	1307
250	437	1305
251	439	1303
252	440	1301
253	442	1300
254	444	1299
255	446	1298
256	448	1297
257	450	1295
258	452	1293
259	454	1292
260	455	1291
261	458	1290
262	460	1289
263	462	1288
264	480	1331
265	481	1329
266	483	1328
267	485	1326
268	487	1324
269	488	1322
270	490	1320
271	492	1318
272	494	1317
273	496	1315
274	498	1313
275	500	1311
276	501	1309
277	503	1307
278	505	1306
279	507	1306
280	510	1305
281	512	1304
282	514	1302
283	515	1300
284	517	1299
285	519	1297
286	521	1295
287	523	1294
288	525	1293
289	527	1292
290	529	1290
291	531	1289
292	533	1287
293	535	1286
294	537	1284
295	539	1282
296	541	1282
297	543	1281
298	545	1279
299	547	1278
300	549	1276
301	551	1274
302	552	1271
303	555	1270
304	557	1269
305	559	1268
306	561	1267
307	563	1265
308	565	1263
309	566	1261
310	568	1260
311	570	1259
312	572	1257
313	575	1256
314	577	1255
315	578	1253
316	580	1251
317	582	1249
318	584	1247
319	586	1246
320	588	1244
321	590	1243
322	592	1241
323	594	1239
324	595	1237
325	597	1235
326	599	1233
327	601	1231
328	603	1229
329	604	1227
330	606	1226
331	608	1224
332	610	1222
333	612	1220
334	614	1218
335	615	1216
336	617	1214
337	619	1213
338	621	1211
339	623	1209
340	624	1207
341	626	1205
342	628	1203
343	630	1201
344	631	1199
345	633	1197
346	635	1195
347	636	1193
348	638	1191
349	640	1189
350	642	1187
351	643	1185
352	645	1183
353	647	1181
354	649	1179
355	650	1177
356	652	1175
357	654	1173
358	656	1171
359	657	1169
360	659	1167
361	661	1165
362	663	1163
363	664	1161
364	666	1159
365	668	1157
366	670	1155
367	672	1154
368	673	1152
369	675	1150
370	677	1148
371	679	1146
372	680	1144
373	682	1142
374	684	1140
375	686	1138
376	688	1137
377	690	1136
378	692	1134
379	694	1132
380	695	1130
381	697	1128
382	699	1126
383	701	1124
384	703	1123
385	705	1122
386	707	1120
387	709	1118
388	711	1116
389	713	1115
390	714	1113
391	716	1111
392	718	1109
393	720	1108
394	722	1106
395	724	1104
396	726	1102
397	727	1100
398	729	1098
399	730	1096
400	732	1094
401	733	1091
402	736	1091
403	739	1091
404	741	1089
405	743	1087
406	745	1086
407	747	1084
408	749	1082
409	750	1080
410	753	1079
411	755	1078
412	757	1077
413	759	1075
414	761	1073
415	763	1071
416	765	1070
417	767	1068
418	770	1067
419	772	1066
420	773	1064
421	775	1062
422	777	1060
423	779	1058
424	781	1056
425	782	1054
426	785	1054
427	787	1053
428	789	1051
429	791	1049
430	793	1047
431	794	1044
432	796	1042
433	798	1040
434	800	1039
435	802	1037
436	804	1036
437	806	1034
438	807	1032
439	809	1030
440	811	1028
441	813	1026
442	814	1024
443	816	1022
444	818	1021
445	820	1019
446	822	1017
447	824	1015
448	826	1013
449	827	1011
450	829	1009
451	831	1007
452	833	1006
453	835	1004
454	837	1002
455	839	1001
456	840	999
457	842	997
458	844	995
459	846	993
460	847	991
461	849	989
462	851	988
463	853	986
464	855	984
465	857	982
466	858	980
467	860	978
468	862	976
469	864	974
470	866	972
471	867	970
472	870	969
473	871	967
474	873	965
475	875	963
476	877	961
477	878	959
478	880	957
479	884	957
480	885	955
481	887	953
482	889	952
483	891	950
484	892	948
485	894	946
486	896	944
487	897	941
488	899	939
489	901	937
490	902	935
491	904	933
492	906	931
493	907	930
494	909	928
495	911	926
496	913	924
497	915	922
498	917	920
499	918	918
500	920	916
501	922	915
502	924	913
503	925	911
504	927	909
505	929	907
506	931	905
507	932	903
508	934	901
509	936	899
510	938	898
511	940	896
512	942	894
513	944	892
514	946	891
515	948	889
516	950	887
517	952	885
518	954	884
519	956	882
520	958	881
521	961	880
522	963	878
523	965	876
524	967	875
525	969	873
526	971	871
527	972	869
528	974	867
529	976	866
530	978	864
531	980	862
532	982	861
533	984	859
534	986	857
535	988	855
536	989	852
537	990	850
538	992	849
539	994	847
540	996	845
541	998	843
542	999	841
543	1001	839
544	1003	837
545	1004	835
546	1006	833
547	1007	831
548	1009	829
549	1011	827
550	1013	826
551	1015	824
552	1017	822
553	1019	820
554	1020	818
555	1022	816
556	1024	814
557	1026	812
558	1027	810
559	1029	808
560	1031	807
561	1033	805
562	1034	803
563	1036	801
564	1038	799
565	1040	797
566	1041	795
567	1043	793
568	1045	792
569	1047	790
570	1049	788
571	1050	786
572	1052	784
573	1054	782
574	1056	781
575	1058	779
576	1060	777
577	1062	775
578	1064	774
579	1066	772
580	1068	770
581	1070	769
582	1072	767
583	1074	765
584	1076	763
585	1078	762
586	1080	760
587	1082	758
588	1084	756
589	1086	754
590	1088	753
591	1090	751
592	1092	749
593	1094	748
594	1096	746
595	1098	744
596	1101	743
597	1104	742
598	1106	740
