iter	Passed	Remaining
0	4	4579
1	9	4534
2	13	4358
3	16	4200
4	20	4096
5	25	4154
6	28	4096
7	33	4142
8	37	4075
9	42	4160
10	45	4124
11	49	4080
12	53	4043
13	58	4092
14	62	4080
15	65	4055
16	69	4035
17	74	4049
18	78	4030
19	81	4003
20	85	3975
21	89	3990
22	93	3977
23	97	3959
24	100	3938
25	105	3939
26	109	3928
27	112	3908
28	116	3894
29	120	3898
30	124	3900
31	128	3887
32	132	3872
33	135	3863
34	140	3878
35	144	3866
36	148	3854
37	151	3844
38	156	3857
39	160	3845
40	164	3837
41	167	3829
42	172	3835
43	176	3827
44	180	3822
45	184	3822
46	189	3850
47	193	3843
48	197	3842
49	203	3870
50	207	3867
51	211	3864
52	215	3855
53	220	3855
54	223	3845
55	227	3839
56	231	3828
57	235	3830
58	239	3822
59	243	3814
60	247	3810
61	251	3806
62	255	3800
63	259	3796
64	263	3789
65	267	3783
66	271	3785
67	275	3781
68	279	3774
69	284	3780
70	289	3791
71	293	3786
72	298	3785
73	302	3790
74	307	3788
75	310	3780
76	314	3772
77	319	3772
78	323	3766
79	327	3761
80	330	3753
81	335	3755
82	339	3748
83	343	3741
84	347	3736
85	352	3747
86	356	3743
87	360	3740
88	364	3735
89	370	3742
90	374	3738
91	378	3733
92	383	3740
93	387	3735
94	391	3730
95	395	3722
96	400	3727
97	404	3723
98	408	3718
99	412	3712
100	418	3722
101	422	3720
102	426	3713
103	430	3707
104	435	3711
105	439	3705
106	443	3699
107	447	3695
108	452	3698
109	456	3691
110	460	3685
111	465	3687
112	469	3681
113	473	3677
114	477	3672
115	481	3670
116	485	3667
117	489	3661
118	493	3654
119	499	3659
120	503	3654
121	507	3650
122	511	3646
123	516	3650
124	520	3645
125	524	3639
126	528	3632
127	533	3637
128	537	3632
129	541	3625
130	545	3620
131	552	3630
132	556	3624
133	559	3617
134	565	3620
135	569	3618
136	573	3611
137	577	3605
138	582	3609
139	586	3605
140	590	3599
141	594	3594
142	599	3593
143	604	3590
144	607	3584
145	612	3582
146	617	3580
147	620	3574
148	624	3568
149	630	3572
150	634	3568
151	638	3563
152	642	3557
153	650	3572
154	654	3566
155	658	3561
156	663	3559
157	666	3553
158	670	3547
159	674	3540
160	679	3543
161	683	3537
162	687	3532
163	691	3527
164	697	3529
165	701	3523
166	705	3518
167	709	3515
168	714	3512
169	718	3507
170	722	3503
171	727	3502
172	731	3498
173	736	3494
174	740	3489
175	745	3491
176	750	3489
177	754	3485
178	759	3481
179	764	3483
180	768	3478
181	772	3473
182	778	3473
183	782	3468
184	786	3463
185	790	3458
186	797	3467
187	801	3462
188	805	3455
189	810	3454
190	814	3448
191	817	3442
192	821	3436
193	826	3434
194	830	3428
195	834	3423
196	838	3417
197	843	3416
198	847	3412
199	852	3408
200	856	3406
201	863	3409
202	866	3403
203	870	3398
204	876	3398
205	880	3394
206	884	3389
207	888	3383
208	893	3382
209	897	3376
210	901	3371
211	905	3365
212	910	3364
213	914	3359
214	918	3353
215	922	3349
216	927	3345
217	931	3340
218	935	3335
219	939	3331
220	943	3326
221	947	3320
222	951	3315
223	956	3312
224	975	3358
225	979	3353
226	983	3347
227	986	3341
228	992	3342
229	996	3337
230	1001	3334
231	1007	3336
232	1013	3336
233	1017	3330
234	1022	3327
235	1025	3321
236	1029	3315
237	1033	3308
238	1038	3305
239	1042	3299
240	1045	3293
241	1049	3287
242	1054	3283
243	1058	3278
244	1061	3272
245	1066	3269
246	1070	3264
247	1076	3263
248	1080	3257
249	1084	3252
250	1088	3248
251	1092	3242
252	1096	3236
253	1099	3230
254	1104	3225
255	1107	3219
256	1111	3214
257	1115	3208
258	1119	3204
259	1124	3200
260	1128	3194
261	1132	3188
262	1136	3185
263	1140	3180
264	1144	3174
265	1148	3168
266	1152	3163
267	1156	3158
268	1160	3153
269	1164	3148
270	1168	3144
271	1172	3139
272	1176	3133
273	1180	3127
274	1185	3125
275	1189	3120
276	1193	3115
277	1197	3110
278	1203	3109
279	1207	3105
280	1211	3100
281	1215	3094
282	1220	3092
283	1224	3087
284	1228	3082
285	1232	3077
286	1237	3074
287	1241	3068
288	1245	3063
289	1248	3057
290	1254	3056
291	1258	3051
292	1263	3047
293	1268	3045
294	1272	3040
295	1276	3034
296	1279	3029
297	1285	3027
298	1289	3023
299	1293	3018
300	1297	3013
301	1303	3012
302	1307	3006
303	1310	3001
304	1314	2996
305	1319	2992
306	1323	2987
307	1327	2981
308	1330	2976
309	1336	2973
310	1339	2968
311	1343	2962
312	1347	2958
313	1352	2954
314	1356	2949
315	1359	2943
316	1364	2938
317	1368	2934
318	1371	2928
319	1375	2922
320	1379	2918
321	1384	2914
322	1388	2909
323	1391	2903
324	1396	2899
325	1401	2897
326	1405	2892
327	1409	2887
328	1414	2884
329	1418	2879
330	1422	2874
331	1426	2869
332	1430	2865
333	1434	2860
334	1438	2856
335	1442	2851
336	1447	2847
337	1452	2844
338	1456	2839
339	1459	2833
340	1464	2830
341	1469	2826
342	1473	2821
343	1476	2816
344	1482	2813
345	1486	2808
346	1489	2803
347	1493	2797
348	1498	2794
349	1503	2792
350	1508	2788
351	1512	2784
352	1517	2782
353	1521	2777
354	1525	2772
355	1531	2770
356	1535	2766
357	1539	2761
358	1544	2758
359	1549	2755
360	1553	2750
361	1557	2745
362	1562	2742
363	1566	2737
364	1570	2732
365	1574	2726
366	1579	2723
367	1583	2720
368	1587	2714
369	1591	2710
370	1597	2708
371	1601	2703
372	1605	2698
373	1609	2694
374	1614	2690
375	1618	2685
376	1622	2680
377	1626	2676
378	1631	2672
379	1634	2667
380	1638	2662
381	1643	2659
382	1648	2655
383	1651	2649
384	1655	2644
385	1661	2642
386	1665	2637
387	1669	2632
388	1673	2627
389	1677	2624
390	1681	2619
391	1685	2614
392	1690	2610
393	1694	2606
394	1698	2601
395	1702	2596
396	1706	2592
397	1710	2587
398	1714	2582
399	1718	2578
400	1722	2573
401	1727	2569
402	1730	2564
403	1734	2559
404	1738	2554
405	1743	2550
406	1747	2545
407	1750	2540
408	1754	2535
409	1759	2531
410	1763	2527
411	1767	2522
412	1771	2517
413	1776	2514
414	1780	2509
415	1783	2503
416	1787	2498
417	1791	2494
418	1795	2490
419	1799	2485
420	1803	2480
421	1807	2476
422	1811	2470
423	1815	2466
424	1819	2461
425	1823	2456
426	1826	2451
427	1830	2446
428	1834	2441
429	1838	2437
430	1842	2432
431	1846	2427
432	1849	2422
433	1853	2417
434	1858	2414
435	1863	2410
436	1867	2405
437	1871	2401
438	1875	2396
439	1879	2391
440	1882	2386
441	1886	2381
442	1890	2377
443	1894	2372
444	1898	2367
445	1902	2362
446	1906	2358
447	1910	2353
448	1913	2348
449	1917	2343
450	1922	2339
451	1925	2335
452	1930	2330
453	1935	2327
454	1941	2325
455	1945	2321
456	1949	2316
457	1961	2321
458	1965	2316
459	1969	2311
460	1974	2308
461	1979	2304
462	1983	2300
463	1989	2297
464	1994	2294
465	1998	2290
466	2003	2287
467	2009	2283
468	2013	2279
469	2016	2274
470	2021	2270
471	2025	2265
472	2029	2261
473	2033	2256
474	2039	2253
475	2042	2248
476	2047	2245
477	2052	2241
478	2057	2237
479	2061	2233
480	2065	2228
481	2070	2225
482	2075	2221
483	2079	2217
484	2085	2214
485	2089	2209
486	2093	2205
487	2097	2200
488	2102	2196
489	2106	2192
490	2110	2187
491	2114	2183
492	2120	2180
493	2124	2176
494	2128	2171
495	2132	2166
496	2137	2163
497	2141	2158
498	2145	2153
499	2149	2149
500	2154	2145
501	2158	2140
502	2161	2136
503	2166	2132
504	2170	2127
505	2174	2122
506	2178	2117
507	2182	2114
508	2186	2109
509	2190	2104
510	2194	2099
511	2198	2095
512	2202	2091
513	2206	2086
514	2210	2081
515	2215	2078
516	2220	2074
517	2224	2069
518	2228	2065
519	2233	2061
520	2238	2058
521	2242	2053
522	2246	2048
523	2251	2045
524	2256	2041
525	2259	2036
526	2264	2032
527	2268	2028
528	2272	2023
529	2276	2018
530	2281	2014
531	2286	2011
532	2290	2006
533	2293	2001
534	2298	1997
535	2302	1993
536	2306	1988
537	2310	1983
538	2315	1980
539	2319	1975
540	2323	1971
541	2326	1966
542	2331	1962
543	2335	1957
544	2339	1953
545	2343	1948
546	2349	1945
547	2354	1941
548	2360	1938
549	2366	1936
550	2370	1932
551	2374	1927
552	2379	1923
553	2383	1919
554	2387	1914
555	2391	1909
556	2395	1905
557	2400	1901
558	2404	1896
559	2407	1891
560	2412	1887
561	2416	1883
562	2420	1878
563	2423	1873
564	2428	1869
565	2432	1864
566	2436	1860
567	2439	1855
568	2443	1850
569	2448	1846
570	2452	1842
571	2455	1837
572	2459	1833
573	2464	1828
574	2468	1824
575	2471	1819
576	2476	1815
577	2481	1811
578	2484	1806
579	2488	1802
580	2493	1798
581	2497	1793
582	2501	1788
583	2504	1784
584	2508	1779
585	2512	1775
586	2516	1770
587	2520	1766
588	2524	1761
589	2529	1757
590	2533	1753
591	2537	1748
592	2541	1744
593	2546	1740
594	2550	1736
595	2554	1731
596	2559	1727
597	2563	1723
598	2567	1718
599	2571	1714
600	2575	1709
601	2579	1705
602	2583	1700
603	2587	1696
604	2591	1692
605	2595	1687
606	2599	1683
607	2604	1679
608	2609	1675
609	2613	1671
610	2617	1666
611	2621	1662
612	2626	1658
613	2630	1653
